pizza_type_id,ingredient,quantity,unit
ital_veggie,Red Peppers,0.32,kg
ital_veggie,Garlic,0.22,kg
ital_veggie,Pesto Sauce,0.19,kg
mediterraneo,Spinach,0.2,kg
mediterraneo,Artichokes,0.15,kg
mediterraneo,Kalamata Olives,0.18,kg
mediterraneo,Sun-dried Tomatoes,0.1,kg
mediterraneo,Feta Cheese,0.25,kg
mediterraneo,Plum Tomatoes,0.3,kg
mediterraneo,Red Onions,0.33,kg
mexicana,Tomatoes,0.3,kg
mexicana,Red Peppers,0.3,kg
mexicana,Jalapeno Peppers,0.2,kg
mexicana,Red Onions,0.22,kg
mexicana,Cilantro,0.3,kg
mexicana,Corn,0.18,kg
mexicana,Chipotle Sauce,0.22,kg
mexicana,Garlic,0.28,kg
spin_pesto,Spinach,0.19,kg
spin_pesto,Artichokes,0.18,kg
spin_pesto,Tomatoes,0.24,kg
spin_pesto,Sun-dried Tomatoes,0.18,kg
spin_pesto,Garlic,0.29,kg
spin_pesto,Pesto Sauce,0.13,kg
spinach_fet,Spinach,0.25,kg
spinach_fet,Mushrooms,0.14,kg
spinach_fet,Red Onions,0.25,kg
spinach_fet,Feta Cheese,0.34,kg
spinach_fet,Garlic,0.27,kg
veggie_veg,Mushrooms,0.24,kg
veggie_veg,Tomatoes,0.29,kg
veggie_veg,Red Peppers,0.11,kg
veggie_veg,Green Peppers,0.2,kg
veggie_veg,Red Onions,0.05,kg
veggie_veg,Zucchini,0.29,kg
veggie_veg,Spinach,0.08,kg
veggie_veg,Garlic,0.11,kg
